案場名稱,年份,月份,時間分類,平均使用率,實際資料筆數,裝置容量,理論時段數,資料完整率
觀園 (wind),2022,6,off-peak,15.73,1949,30.0,1980,98.43
觀園 (wind),2022,6,peak,16.83,757,30.0,792,95.58
觀園 (wind),2022,7,mid-peak,16.31,1580,30.0,1584,99.75
觀園 (wind),2022,7,off-peak,12.94,2124,30.0,2124,100.0
觀園 (wind),2022,7,peak,9.74,756,30.0,756,100.0
觀園 (wind),2022,8,mid-peak,8.28,1596,30.0,1602,99.63
觀園 (wind),2022,8,off-peak,4.76,2034,30.0,2034,100.0
觀園 (wind),2022,8,peak,8.61,828,30.0,828,100.0
觀園 (wind),2022,9,mid-peak,42.96,1548,30.0,1548,100.0
觀園 (wind),2022,9,off-peak,35.47,1980,30.0,1980,100.0
觀園 (wind),2022,9,peak,38.38,792,30.0,792,100.0
觀園 (wind),2022,10,mid-peak,60.96,1976,30.0,1980,99.8
觀園 (wind),2022,10,off-peak,55.25,2124,30.0,2124,100.0
觀園 (wind),2022,10,peak,59.42,348,30.0,360,96.67
觀園 (wind),2022,11,mid-peak,43.92,2329,30.0,2340,99.53
觀園 (wind),2022,11,off-peak,44.12,1980,30.0,1980,100.0
觀園 (wind),2022,12,mid-peak,57.48,2424,30.0,2430,99.75
觀園 (wind),2022,12,off-peak,60.78,2033,30.0,2034,99.95
觀園 (wind),2023,1,mid-peak,48.63,2328,30.0,2340,99.49
觀園 (wind),2023,1,off-peak,48.73,2124,30.0,2124,100.0
觀園 (wind),2023,2,mid-peak,44.89,2159,30.0,2160,99.95
